,OID,Country,CountryCode,GridCellArea,pointid,Pop,X,Y,X_deg,Y_deg,TravelHours,NTLBin,NTLArea,NightLights,Elevation,Slope,LandCover,Conflict,ElectrificationOrder,GHI,SolarRestriction,WindVel,HydropowerFID,HydropowerDist,Hydropower,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,SubstationDist,TransformerDist,RoadDist,IsUrban,Electrific,ElecTechStart,PerCapitaDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,ResidentialDemandTierCustom,CommercialDemand,AgriDemand,EducationDemand,HealthDemand,HealthDemand2025,EducationDemand2025,ElecPop,ElecStart,Elec_Initial_Status_Grid2012,Elec_Init_Status_Offgrid2012,Actual_Elec_Status_2012,FinalElecCode2012,GridReachYear,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,Pop2025High,Pop2025Low,Pop2012,GridDistCalibElec,MVConnectDist,Pop2025,NewConnections2025,NumPeoplePerHH,EnergyPerSettlement2025,TotalEnergyPerCell,MG_Hydro2025,MG_PV2025,MG_Wind2025,MG_Diesel2025,SA_Diesel2025,SA_PV2025,Hybrid_Cost,Hybrid_Transmission_Cost,Hybrid_NPC,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Off_Grid_Code2025,Elec_Initial_Status_Grid2025,Elec_Init_Status_Offgrid2025,Actual_Elec_Status_2025,Grid_extension2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,GridElecIn2025,OffGridElecIn2025,FinalElecCode2025,NewCapacity2025,InvestmentCostLV2025,InvestmentCostMV2025,InvestmentCostHV2025,InvestmentCostTransformer2025,InvestmentCostConnection2025,HouseHolds
9165,-1,Bolivia,1,1,9166,90.836425,-7455.836625,-1696.332295,-66.97691996,-15.15872271,11,0,1,0.0,276,1.2089767,2,0,0,1786,1,1.93146181,130,8.3776093,3717290,4.396,4.396,5.4079999999999995,3.693,5.356,0,4.9476309,0,0.12,2,140.47279620999998,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,122.51650049999999,0,0,17.95629571,0.0,0,0,10.42555322,0.12,0,1,1,2,2012,5,2,4,5,5,4.2,1.141803222,0.000120136,86.87961013,104.5311366,99.30457972,86.87961013,3.693,0.0,104.5311366,94.10558338,3.41909407774657,13219.274436361902,14683.78104921147,99.0,0.8627882634493621,99.0,0.8564869497289548,0.6934468186492811,0.4749862132685984,[0.45913139],45778.389105312075,[134236.4944466],SA_PV2025,0.4749862132685984,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.4749862132685984,3.0,41695.73310461294,1,0,1,3.0,8.22401047428263,34956.79432672918,0.0,0.0,10000,3821.594778582898,30.572758228663183
9172,-1,Bolivia,1,1,9173,152.60519399999998,-7387.763354000001,-1269.710928,-66.36540736,-11.40577846,1,0,1,0.0,137,0.3175367,2,0,0,1884,1,2.29998398,32,15.8382492,4881550,389.36,284.752,42.266000000000005,16.902,284.985,0,8.225035700000001,0,0.5710000000000001,4,187.57042248999997,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,150.68038059999998,0,0,10.68827126,26.20177063,0,0,83.34187241,0.5710000000000001,0,1,1,4,2012,4,1,4,5,5,3.85,1.102740091,0.0008764469999999999,145.957745,175.61230940000002,166.8316939,145.957745,16.902,0.0,175.61230940000002,92.27043699000002,3.41909407774657,17307.204849551224,32939.6750686026,99.0,0.6558699121774374,99.0,0.659854295145513,0.42529319994385006,0.5133356656981455,[0.37630382],38594.9902920671,[143732.46839822],SA_Diesel2025,0.42529319994385006,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.42529319994385006,2.0,9799.59935680313,1,0,1,2.0,7.902833264635262,12579.156869395116,22642.482364911208,0.0,0,3373.351057760778,51.36223379841634
9175,-1,Bolivia,1,1,9176,159.872108,-7411.3659099999995,-1647.081534,-66.57743273,-14.72857036,11,0,1,0.0,188,1.2089767,2,0,0,1845,1,3.25177002,460,9.5812302,339461,21.064,20.631,61.06399999999999,12.189,29.518,0,15.82833,0,0.023,3,132.71894115,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,122.5165004,0,0,10.20244075,0.0,0,0,3.516886618,0.023,0,1,1,3,2012,3,1,4,5,5,3.7,1.08924436,0.011383603999999999,152.9081138,183.9748003,174.7760603,152.9081138,12.189,0.0,183.9748003,180.457913682,3.41909407774657,23950.183226013138,24416.940694098703,99.0,0.6975904313258094,99.0,0.7051637682004919,0.693446818649281,0.45979695224808487,[0.43528039],58872.818520810746,[173999.15339148],SA_PV2025,0.45979695224808487,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.45979695224808487,3.0,73127.02737481879,1,0,1,3.0,14.423476799767021,45146.81171474574,0.0,0.0,10000,6726.00680606501,53.80805444852008
9180,-1,Bolivia,1,1,9181,101.736796,-7364.679494,-1256.9979859999999,-66.15804152,-11.29308398,1,0,1,0.0,127,0.5120042,2,0,0,1864,1,2.13154507,32,10.5155315,4881550,401.31,289.413,23.568,14.832,289.597,0,3.2215047,0,0.036000000000000004,4,150.68038059999998,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,150.68038059999998,0,0,0.0,0.0,0,0,3.50298588,0.036000000000000004,0,1,1,4,2012,5,1,4,5,5,4.0,1.118071038,0.00039913599999999997,97.30516335,117.0748729,111.2211293,97.30516335,14.832,0.0,117.0748729,113.57188702,3.41909407774657,17113.055161633798,17640.886407268623,99.0,1.0408974607260548,99.0,1.0333152294637613,0.42529319994385,0.45511018073911824,[0.56341092],80602.07111545719,[165451.15493561],SA_Diesel2025,0.42529319994385,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.42529319994385,2.0,9689.668887187843,1,0,1,2.0,7.8141804391021905,27303.554285741233,49146.39771433422,0.0,0,4152.11911538173,34.24148918919505
9181,-1,Bolivia,1,1,9182,167.139022,-7424.327973,-1661.9229890000001,-66.69387292,-14.8582862,4,0,1,0.0,193,0.5020619000000001,14,0,0,1844,1,3.37979746,469,20.197681399999997,284987,3.4739999999999998,3.074,45.373999999999995,1.4040000000000001,10.097999999999999,0,1.5607598999999999,0,0.065,2,132.275356768,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,122.5165004,0,0,9.758856368,0.0,0,0,10.39080137,0.065,0,1,1,2,2012,5,1,5,5,5,4.2,1.141803222,0.014106255,159.8584826,192.3372913,182.7204267,159.8584826,1.4040000000000001,0.0,192.3372913,181.94648993,3.41909407774657,24067.03686817607,25441.483826498243,99.0,0.7038296793884894,99.0,0.7034317891732441,0.5057392855554794,0.46004629983607176,[0.42832132],60108.67456013529,[174071.35082102],SA_PV2025,0.46004629983607176,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.46004629983607176,3.0,73523.66649894713,1,0,1,3.0,14.501709368628626,46076.94016915137,0.0,0.0,10000,7031.734390983919,56.25387512787135
9182,-1,Bolivia,1,1,9183,170.772479,-7226.63154,-1433.445958,-64.91793565,-12.85302029,4,0,1,0.0,148,1.3051686000000002,2,0,0,1909,1,3.58496952,433,118.66072849999999,301052,228.36700000000002,116.68799999999999,199.12400000000002,33.754,116.72,0,3.52443,0,0.638,3,145.550430129,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,135.999209,0,0,9.551221129,0.0,0,0,104.2068796,0.638,0,1,1,3,2012,5,1,4,5,5,4.0,1.118071038,0.019190421000000003,163.333667,196.5185367,186.6926099,163.333667,33.754,0.0,196.5185367,92.3116571,3.41909407774657,13436.001396825757,28603.357545006675,99.0,1.0040763120380505,99.0,1.007861635044177,0.5057392855554792,0.5066130928105324,[0.42523027],60719.01840801856,[174402.70953229],SA_Diesel2025,0.5057392855554792,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.5057392855554792,2.0,7607.665812642981,1,0,1,2.0,6.135160455171579,46534.42022823112,0.0,0.0,10000,7184.598179787433,57.476785438299466
9184,-1,Bolivia,1,1,9185,174.405936,-7475.0921180000005,-1647.22334,-67.149895,-14.72981013,16,0,1,0.0,249,1.9307889999999999,2,0,0,1833,1,2.07696867,109,45.1219063,8557470,46.78,4.14,2.71,0.069,46.702,0,3.9766691,0,0.375,2,168.42185885400002,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,159.0696215,0,0,9.352237354,0.0,0,0,62.55331929,0.375,0,1,1,2,2012,5,1,4,5,5,4.0,1.118071038,0.000297361,166.8088514,200.6997822,190.6647931,166.8088514,0.069,0.0,200.6997822,138.14646291,3.41909407774657,23266.88407740737,33802.23038971694,99.0,0.7270079054855341,99.0,0.7373799146952523,0.8275236280019969,0.4628070795950448,[0.43542865],61324.52080275159,[185705.41845636],SA_PV2025,0.4628070795950448,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.4628070795950448,3.0,71505.79030881698,1,0,1,3.0,14.10370617530907,46987.058830504706,0.0,0.0,10000,7337.461972246887,58.699695777975094
9185,-1,Bolivia,1,1,9186,105.370253,-7315.002109999999,-1444.73795,-65.71178199,-12.95252986,10,0,1,0.0,167,0.3175367,8,0,0,1899,1,3.46550131,64,105.2238693,1740310,218.975,95.353,175.66400000000002,66.06,95.56299999999999,0,70.4554367,0,0.138,3,79.27137946,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,63.79181418,0,0,15.47956528,0.0,0,0,13.90768799,0.138,0,1,1,3,2012,1,1,2,5,5,3.0,1.044739474,0.016121475,100.7803478,121.2561184,115.1933125,100.7803478,66.06,0.0,121.2561184,107.34843041,3.41909407774657,8509.658161466514,9612.139773533088,99.0,1.1926455658447752,99.0,1.1973559997617078,0.6666314567787383,0.5092808816089028,[0.44958363],48792.928352879295,[139535.94654727],SA_PV2025,0.5092808816089028,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5092808816089028,3.0,28778.78659720113,1,0,1,3.0,4.979028823045177,37359.878411770456,0.0,0.0,10000,4433.049941108836,35.464399528870686
9213,-1,Bolivia,1,1,9214,152.60519399999998,-7234.188209999999,-1933.181468,-64.98581837,-17.21460228,7,0,1,0.0,494,13.7128096,2,0,0,1563,1,1.90554965,194,50.9815979,5196390,22.088,22.088,7.2379999999999995,0.447,31.76,0,4.449801,0,0.0,0,120.718806,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,120.718806,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,99,2012,5,1,4,5,4,3.7,1.08924436,0.00010002299999999999,145.957745,175.61230940000002,166.8316939,145.957745,0.447,0.0,175.61230940000002,175.61230940000002,3.41909407774657,21199.70830967058,21199.70830967058,99.0,0.7951509462075168,99.0,0.7398780417584028,0.5861853711671087,0.5427545597554169,[0.44369176],57615.571846523315,[175050.85763586],SA_PV2025,0.5427545597554169,3.0,0,0,0,99.0,0.0,0,SA_PV2025,0.5427545597554169,3.0,76407.56460512536,1,0,1,3.0,15.070525563141095,44195.29262172127,0.0,0.0,10000,6420.279224802042,51.36223379841634
9215,-1,Bolivia,1,1,9216,188.939764,-7232.498917,-1900.493798,-64.97064319,-16.93217639,9,0,1,0.0,207,0.5407350000000001,2,0,0,1723,1,2.31907606,194,49.0300179,5196390,9.906,9.906,9.291,0.016,22.584,0,10.5201616,0,0.038,2,129.351640482,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,120.718806,0,0,8.632834482,0.0,0,0,6.866964385,0.038,0,1,1,2,2012,3,1,4,5,5,3.7,1.08924436,0.000948718,180.7095891,217.424764,206.55352580000002,180.7095891,0.016,0.0,217.424764,210.55779961500002,3.41909407774657,27235.99679648048,28124.249904811695,99.0,0.701839784261081,99.0,0.6850102242490949,0.6398160949081948,0.4923536720242116,[0.43039714],63701.014833358604,[192857.37396903],SA_PV2025,0.4923536720242116,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.4923536720242116,3.0,89047.8517818766,1,0,1,3.0,17.56367885244114,48752.09769858578,0.0,0.0,10000,7948.917134772825,63.591337078182605
