,OID,Country,CountryCode,GridCellArea,pointid,Pop,X,Y,X_deg,Y_deg,TravelHours,NTLBin,NTLArea,NightLights,Elevation,Slope,LandCover,Conflict,ElectrificationOrder,GHI,SolarRestriction,WindVel,HydropowerFID,HydropowerDist,Hydropower,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,SubstationDist,TransformerDist,RoadDist,IsUrban,Electrific,ElecTechStart,PerCapitaDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,ResidentialDemandTierCustom,CommercialDemand,AgriDemand,EducationDemand,HealthDemand,HealthDemand2025,EducationDemand2025,ElecPop,ElecStart,Elec_Initial_Status_Grid2012,Elec_Init_Status_Offgrid2012,Actual_Elec_Status_2012,FinalElecCode2012,GridReachYear,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,Pop2025High,Pop2025Low,Pop2012,GridDistCalibElec,MVConnectDist,Pop2025,NewConnections2025,NumPeoplePerHH,EnergyPerSettlement2025,TotalEnergyPerCell,MG_Hydro2025,MG_PV2025,MG_Wind2025,MG_Diesel2025,SA_Diesel2025,SA_PV2025,Hybrid_Cost,Hybrid_Transmission_Cost,Hybrid_NPC,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Off_Grid_Code2025,Elec_Initial_Status_Grid2025,Elec_Init_Status_Offgrid2025,Actual_Elec_Status_2025,Grid_extension2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,GridElecIn2025,OffGridElecIn2025,FinalElecCode2025,NewCapacity2025,InvestmentCostLV2025,InvestmentCostMV2025,InvestmentCostHV2025,InvestmentCostTransformer2025,InvestmentCostConnection2025,HouseHolds
5,-1,Bolivia,1,1,6,178.039393,-7171.366879000001,-2573.0515809999997,-64.42148475,-22.64794351,4,1,1,0.1083464,477,1.3506948,14,0,0,1680,1,1.63658643,396,5.7181096,1409850,142.97899999999998,112.866,0.049,0.061,117.163,0,0.14733339999999998,0,0.878,4,246.73032257,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,237.5689472,0,0,9.16137537,0.0,0,0,149.50938349999998,0.878,0,1,1,4,2012,5,1,5,5,5,4.2,1.141803222,8.58e-06,170.28403590000002,204.88102759999998,194.63697630000001,170.28403590000002,0.061,0.0,204.88102759999998,55.3716441,3.41909407774657,13661.863610024237,50550.36202822107,99.0,0.5742259263945968,99.0,0.5461027799517479,0.5057392855554792,0.5756692822472058,[0.32707622],19848.00101554273,[142732.94968905],SA_Diesel2025,0.5057392855554792,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.5057392855554792,2.0,7735.552390425257,1,0,1,2.0,6.238293885855816,6365.5883514674815,11458.059032641468,0.0,0,2024.3536314337796,59.922606088403214
9,-1,Bolivia,1,1,10,101.736796,-6994.552259,-2482.620878,-62.83313199999999,-21.8918535,3,1,1,0.1161117,297,0.30124209999999996,4,0,0,1805,1,4.66309214,394,152.15136719999998,6318050,216.396,80.444,4.776,0.124,83.977,0,0.6696313,0,0.5,3,251.25742116000004,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,195.9223583,0,0,16.0324069,39.30265596,0,0,48.65258167,0.5,0,1,1,3,2012,5,1,4,5,5,4.0,1.118071038,0.060189401,97.30516335,117.0748729,111.2211293,97.30516335,0.124,0.0,117.0748729,68.42229123000001,3.41909407774657,17191.60844430829,29415.930647488774,99.0,0.7565558016937617,99.0,0.7471743334991787,0.47892392368493625,0.4699863583920868,[0.44889304],48055.69624659179,[135699.19432575],SA_PV2025,0.4699863583920868,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.4699863583920868,3.0,53654.327370048035,1,0,1,3.0,10.582707568056811,36775.51009794241,0.0,0.0,10000,4280.186148649382,34.24148918919505
18,-1,Bolivia,1,1,19,167.139022,-7002.561398000001,-1827.237259,-62.90507932,-16.29767899,5,0,1,0.0,335,7.4220819,2,0,0,1869,1,4.34899569,530,43.342040999999995,358274,125.934,101.04799999999999,3.111,2.991,101.444,0,3.5266066,0,0.457,3,84.63645311799999,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,74.87759675,0,0,9.758856368,0.0,0,0,73.05532657,0.457,0,1,1,3,2012,5,1,4,5,5,4.0,1.118071038,0.045880332999999995,159.8584826,192.3372913,182.7204267,159.8584826,2.991,0.0,192.3372913,119.28196473,3.41909407774657,10095.602415693573,16278.746137955559,99.0,1.2315010293364699,99.0,1.225026631127249,0.5325546474260225,0.5174555346042303,[0.428219],60108.67456013529,[173987.00387146],SA_PV2025,0.5174555346042303,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5174555346042303,3.0,34690.31684365308,1,0,1,3.0,6.001784921047245,46076.94016915137,0.0,0.0,10000,7031.734390983919,56.25387512787135
25,-1,Bolivia,1,1,26,697.623744,-6958.944236,-1823.2381679999999,-62.51325968,-16.26298092,5,1,1,0.145305,528,0.5407350000000001,14,0,0,1879,1,6.33918476,528,29.971574800000003,102342,149.99200000000002,127.10799999999999,0.057999999999999996,0.057999999999999996,127.538,0,1.6897174,0,0.7240000000000001,3,111.67146693899998,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,109.33340759999999,0,0,2.338059339,0.0,0,0,483.0784338,0.7240000000000001,0,1,1,3,2012,5,1,5,4,5,4.05,1.123631377,0.159827613,667.2354058,802.7991287000001,762.6591722999999,667.2354058,0.057999999999999996,0.0,802.7991287000001,319.72069490000007,3.41909407774657,35703.67901023946,89649.75635928006,99.0,0.8590536356169387,0.8707356841766385,0.8622338263219227,0.5325546474260227,0.6821132549875464,[0.36025792],126562.70165063831,[457418.06054098],SA_Diesel2025,0.5325546474260227,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.5325546474260227,2.0,20215.959359452576,1,0,1,2.0,16.30304977636505,90212.85376530669,0.0,0.0,10000,29349.847885331612,234.7987830826529
27,-1,Bolivia,1,1,28,119.904081,-7143.097188,-1872.2575170000002,-64.1675338,-16.68786499,30,0,1,0.0,236,0.4140143,2,0,0,1817,1,3.36662936,182,8.1811981,7260830,64.673,64.594,46.008,24.070999999999998,70.943,0,39.350666,0,0.0,0,130.6061256,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,130.6061256,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,99,2012,2,1,4,5,5,3.55,1.077364157,0.013810365,114.6810854,137.9811002,131.0820452,114.6810854,24.070999999999998,0.0,137.9811002,137.9811002,3.41909407774657,18021.176903147385,18021.176903147385,99.0,0.7652643782639509,99.0,0.787379419849496,1.2029386941895996,0.46688243087381215,[0.46181345],51646.70475619614,[162476.17439368],SA_PV2025,0.46688243087381215,3.0,0,0,0,99.0,0.0,0,SA_PV2025,0.46688243087381215,3.0,55871.92985932688,1,0,1,3.0,11.020104508742975,39602.199652561365,0.0,0.0,10000,5044.505103634773,40.35604082907818
34,-1,Bolivia,1,1,35,116.270624,-6526.889655,-2120.1353289999997,-58.63204735,-18.82134627,3,1,1,3.9052602999999997,155,1.0673021,13,0,0,1896,1,3.8091383000000003,674,22.232492399999998,701332,474.675,474.533,0.687,0.36700000000000005,474.533,0,0.1201749,0,0.625,2,134.14793053000002,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,120.11957450000001,0,0,14.02835603,0.0,0,0,69.50368809999999,0.625,0,1,1,2,2012,5,1,3,5,5,3.8,1.098049029,0.025766597999999998,111.205901,133.7998548,127.109862,111.205901,0.36700000000000005,0.0,133.7998548,64.2961667,3.41909407774657,8625.1977038169,17948.973626634488,99.0,1.2197443571099633,99.0,1.2157239221633118,0.47892392368493625,0.5100867057886638,[0.44097084],50946.61898169478,[142068.35349019],SA_Diesel2025,0.47892392368493625,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.47892392368493625,2.0,4883.71649872831,1,0,1,2.0,3.9384464400990415,39054.977666863524,0.0,0.0,10000,4891.641314831258,39.13313051865006
39,-1,Bolivia,1,1,40,261.608904,-7016.547125,-1766.535611,-63.03071524,-15.77033943,6,0,1,0.0,226,2.9828537,2,0,0,1858,1,3.46581864,505,5.0068574,176816,181.35,156.296,12.722000000000001,12.73,156.642,0,12.812206300000001,0,0.611,4,101.843014,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,101.843014,0,0,0.0,0.0,0,0,152.8803124,0.611,0,1,1,4,2012,3,1,4,5,5,3.7,1.08924436,0.016129225,250.2132772,301.0496733,285.9971896,250.2132772,12.73,0.0,301.0496733,148.1693609,3.41909407774657,15090.014296509751,30659.806092587325,99.0,0.8067627174020295,99.0,0.8086962124301535,0.5593700092965657,0.5205190496099603,[0.35981268],48016.67078788118,[201477.4500839],SA_PV2025,0.5205190496099603,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5205190496099603,3.0,52159.0016946695,1,0,1,3.0,9.024048736101992,15214.174667686775,27385.514401836193,0.0,0,5416.981718358211,88.04954366696265
45,-1,Bolivia,1,1,46,236.174705,-6940.324789,-1937.1206539999998,-62.34599835,-17.24860807,19,0,1,0.0,265,0.803267,12,0,0,1883,0,4.88607168,207,42.9293327,4160980,62.784,62.373000000000005,1.102,1.102,62.497,0,38.5800934,0,0.831,2,172.5523301,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,172.5523301,0,0,0.0,0.0,0,0,187.7120856,0.831,0,1,1,2,2012,2,1,3,5,5,3.35,1.063706065,0.071396219,225.8869863,271.780955,258.1919073,225.8869863,1.102,0.0,271.780955,84.06886940000001,3.41909407774657,14506.279303842592,46896.43706205325,99.0,1.0660829574835395,99.0,1.0807956320142897,0.9079697136136262,0.5136082815588456,[0.42199335],70998.69168862523,[221102.26224889],SA_PV2025,0.5136082815588456,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5136082815588456,3.0,49475.59708279352,1,0,1,3.0,8.55979188283625,54062.5452701592,0.0,0.0,10000,9936.146418466033,79.48917134772826
50,-1,Bolivia,1,1,51,178.039393,-7139.156695999999,-1914.4787019999999,-64.13213576,-17.05306081,23,0,1,0.0,251,1.7531245,2,0,0,1787,1,3.87627006,568,18.004220999999998,858453,24.995,25.211,19.787,2.98,46.246,0,3.9350848,0,0.0,0,130.6061256,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,130.6061256,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,99,2012,5,1,4,5,5,4.0,1.118071038,0.027942436,170.28403590000002,204.88102759999998,194.63697630000001,170.28403590000002,2.98,0.0,204.88102759999998,204.88102759999998,3.41909407774657,26758.717223782667,26758.717223782667,99.0,0.6858029020228319,99.0,0.6966344745088594,1.015231161095798,0.4747204123658179,[0.44105616],61925.332247848586,[193211.57697319],SA_PV2025,0.4747204123658179,3.0,0,0,0,99.0,0.0,0,SA_PV2025,0.4747204123658179,3.0,84354.09831783755,1,0,1,3.0,16.637889214563618,47435.006486798186,0.0,0.0,10000,7490.3257610504015,59.922606088403214
77,-1,Bolivia,1,1,78,287.043103,-7224.214842,-1645.296268,-64.89622608,-14.71296167,2,0,1,0.0,153,0.5020619000000001,9,0,0,1886,1,3.25051928,458,94.66698459999999,116342,16.503,13.923,0.27699999999999997,0.306,12.253,0,0.4436737,0,0.6459999999999999,3,85.05420502400001,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,79.37183296,0,0,5.682372064,0.0,0,0,177.35256090000001,0.6459999999999999,0,1,1,3,2012,5,1,5,5,5,4.2,1.141803222,0.011358693000000001,274.53956800000003,330.3183915,313.80247189999994,274.53956800000003,0.306,0.0,330.3183915,152.9658306,3.41909407774657,13010.387117518856,28094.968193838904,99.0,1.2384634005487558,99.0,1.2313329415593761,0.45210856181439324,0.6795815514960764,[0.40041024],78291.8912658633,[239026.48702057],SA_Diesel2025,0.45210856181439324,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.45210856181439324,2.0,7366.676614560525,1,0,1,2.0,5.940816035396738,59215.65177124461,0.0,0.0,10000,12076.239494618692,96.60991595694954
78,-1,Bolivia,1,1,79,145.33828,-7213.543131,-1392.4291859999998,-64.80036047,-12.49123005,23,0,1,0.0,164,1.1447543,2,0,0,1864,1,3.04042411,433,109.9618378,301052,269.57599999999996,159.085,218.389,62.146,159.118,0,35.1734962,0,0.65,2,135.999209,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,135.999209,0,0,0.0,0.0,0,0,90.35479453,0.65,0,1,1,2,2012,2,1,4,5,5,3.55,1.077364157,0.007628493,139.00737619999998,167.2498185,158.8873276,139.00737619999998,62.146,0.0,167.2498185,76.89502397,3.41909407774657,10457.66243595604,22745.843021393568,99.0,1.1450919695938324,99.0,1.159366039265753,1.0152311610957985,0.5188435591069239,[0.44739332],56335.38712524534,[172136.37312528],SA_PV2025,0.5188435591069239,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5188435591069239,3.0,36030.81120638168,1,0,1,3.0,6.233704360965688,43220.835481706265,0.0,0.0,10000,6114.551643539073,48.916413148312586
142,-1,Bolivia,1,1,143,109.00371000000001,-7286.7844620000005,-1136.114751,-65.45829854,-10.21932826,13,0,1,0.0,153,1.7559943,2,0,0,1851,1,1.90740883,9,25.824028,2218090,526.413,398.976,111.10799999999999,57.693999999999996,399.01300000000003,0,20.4472008,0,0.267,2,62.59335119,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,62.59335119,0,0,0.0,0.0,0,0,27.83622709,0.267,0,1,1,2,2012,3,1,4,5,5,3.7,1.08924436,0.000101372,104.2555322,125.4373639,119.1654957,104.2555322,57.693999999999996,0.0,125.4373639,97.60113680999999,3.41909407774657,6109.182232891565,7851.5449709405275,99.0,1.5657486320706706,99.0,1.5578467363023976,0.7470775423903673,0.6924315538204211,[0.45208053],49520.16904788471,[144841.84325338],SA_PV2025,0.6924315538204211,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.6924315538204211,3.0,28090.723275076165,1,0,1,3.0,3.6671962500099435,37934.25531431642,0.0,0.0,10000,4585.913733568289,36.687309868546315
143,-1,Bolivia,1,1,144,109.00371000000001,-7452.753726000001,-1245.3308220000001,-66.94922581,-11.18962038,2,0,1,0.0,161,1.0482459000000002,14,0,0,1874,1,2.25169563,30,10.664114,6120360,420.765,335.051,86.31,28.675,335.36300000000006,0,0.2294206,0,0.133,2,42.21948042,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,42.21948042,0,0,0.0,0.0,0,0,13.86598578,0.133,0,1,1,2,2012,5,1,5,5,5,4.2,1.141803222,0.000711332,104.2555322,125.4373639,119.1654957,104.2555322,28.675,0.0,125.4373639,111.57137811999999,3.41909407774657,4710.485613969756,5295.9003291124645,99.0,1.9322673569556652,99.0,1.9082525296987733,0.45210856181439296,0.6839331943018139,[0.44340633],49520.16904788471,[137668.68510109],SA_Diesel2025,0.45210856181439296,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.45210856181439296,2.0,2667.147710687978,1,0,1,2.0,2.1509066730455504,37934.25531431642,0.0,0.0,10000,4585.913733568289,36.687309868546315
191,-1,Bolivia,1,1,192,90.836425,-7208.368248999999,-1871.7016399999998,-64.75387372,-16.68305213,5,0,1,0.0,194,0.5407350000000001,14,0,0,1782,1,3.20604134,179,27.3913956,1822880,42.678000000000004,42.678000000000004,17.796,17.789,58.205,0,19.65411,0,0.0,0,130.6061256,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,130.6061256,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,99,2012,3,1,5,5,5,3.9,1.107634822,0.010493843000000001,86.87961013,104.5311366,99.30457972,86.87961013,17.789,0.0,104.5311366,104.5311366,3.41909407774657,13652.406755890357,13652.406755890357,99.0,0.8466200325943855,99.0,0.8333699579553091,0.5325546474260224,0.47605240005483546,[0.45494411],45778.389105312075,[130773.64228078],SA_PV2025,0.47605240005483546,3.0,0,0,0,99.0,0.0,0,SA_PV2025,0.47605240005483546,3.0,43158.56232221231,1,0,1,3.0,8.512536947181916,34956.79432672918,0.0,0.0,10000,3821.594778582898,30.572758228663183
196,-1,Bolivia,1,1,197,221.640877,-6885.761029,-1730.6041289999998,-61.85584375,-15.45753002,20,0,1,0.0,351,4.4513011,2,0,0,1883,1,2.91742635,499,26.996242499999997,305243,267.961,245.145,63.273,34.968,245.574,0,43.70061870000001,0,0.131,2,98.24762498,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,98.24762498,0,0,0.0,0.0,0,0,27.77019858,0.131,0,1,1,2,2012,2,1,4,5,5,3.55,1.077364157,0.005852615,211.98624869999998,255.05597319999998,242.3031745,211.98624869999998,34.968,0.0,255.05597319999998,227.28577461999998,3.41909407774657,22330.28754815456,25058.64360386253,99.0,0.7871124019054988,99.0,0.8089225646562569,0.9347850754841693,0.5136082815588455,[0.42568967],68814.93143246649,[213561.74306743],SA_PV2025,0.5136082815588455,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5136082815588455,3.0,76160.41896992586,1,0,1,3.0,13.176543074381636,52490.240176526386,0.0,0.0,10000,9324.691255940093,74.59753004752075
197,-1,Bolivia,1,1,198,98.103339,-7023.354855,-1756.695034,-63.09187012,-15.68471824,3,0,1,0.0,236,0.4140143,2,0,0,1861,1,3.6126852,505,9.5601387,176816,190.144,165.201,1.321,1.3219999999999998,165.53400000000002,0,1.656853,0,0.7040000000000001,4,88.50763904,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,71.8814393,0,0,16.62619974,0.0,0,0,66.05630517,0.7040000000000001,0,1,1,4,2012,5,1,4,5,5,4.0,1.118071038,0.019945729,93.82997894,112.8936275,107.24894609999998,93.82997894,1.3219999999999998,0.0,112.8936275,46.83732232999999,3.41909407774657,4145.460818383771,9991.948432686217,99.0,1.17229190535914,99.0,1.1635749405045663,0.4789239236849362,0.6887108039342288,[0.35844851],23050.511139999544,[107683.67245546],SA_Diesel2025,0.4789239236849362,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.4789239236849362,2.0,2347.222184207264,1,0,1,2.0,1.8929044832802606,7620.773972117476,13717.393149811456,0.0,0,1712.3440180706134,33.01857887876693
223,-1,Bolivia,1,1,224,94.469882,-6959.790894,-1879.5557390000001,-62.52086534,-16.75104257,10,1,1,0.19729560000000002,244,1.3947334999999998,9,0,0,1888,1,4.61057186,530,24.779266399999997,358274,107.023,90.417,0.002,0.028999999999999998,90.83,0,4.8686337,0,0.5,4,137.76497611,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,78.17336997,0,0,17.26566896,42.32593718,0,0,45.17739727,0.5,0,1,1,4,2012,5,1,5,5,5,4.2,1.141803222,0.057672518,90.35479453,108.712382,103.27676290000001,90.35479453,0.028999999999999998,0.0,108.712382,63.534984730000005,3.41909407774657,8752.895653477664,14976.758709091195,99.0,0.9094194189038239,99.0,0.9184551072233427,0.666631456778738,0.5122480901352257,[0.40609208],33976.80322678195,[120554.83271309],SA_PV2025,0.5122480901352257,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5122480901352257,3.0,29773.856448388007,1,0,1,3.0,5.15118623674533,11305.001009583511,20349.00181725032,0.0,0,2322.8003999481257,31.795668539091302
244,-1,Bolivia,1,1,245,537.7516360000001,-7280.6941719999995,-1701.935842,-65.40358854,-15.20760807,2,0,1,0.0,160,0.2008291,9,0,0,1879,1,4.03651285,492,67.7450485,477438,28.114,28.114,58.963,27.570999999999998,34.661,0,1.0897803999999998,0,0.682,2,109.93263909999999,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,109.93263909999999,0,0,0.0,0.0,0,0,350.7712131,0.682,0,1,1,2,2012,5,1,5,5,5,4.2,1.141803222,0.033515647,514.3272919999999,618.8243284,587.883112,514.3272919999999,27.570999999999998,0.0,618.8243284,268.0531153,3.41909407774657,29467.786383905586,68028.99156029707,99.0,0.8842764215564162,99.0,0.8836278370005669,0.4521085618143931,0.6821132549875465,[0.3705803],109287.10641345479,[372884.40676124],SA_Diesel2025,0.4521085618143931,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.4521085618143931,2.0,16685.103285272613,1,0,1,2.0,13.455610220961455,79663.2653341882,0.0,0.0,10000,22623.8410792666,180.9907286341328
251,-1,Bolivia,1,1,252,290.67656,-7258.4418989999995,-1913.306643,-65.20369297,-17.04293265,4,0,1,0.0,272,0.9525322,8,0,0,1674,1,2.12319326,193,25.281723,8108790,3.582,3.582,0.008,0.008,6.972,0,6.774965299999999,0,0.625,3,127.60996809999999,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,127.60996809999999,0,0,0.0,0.0,0,0,173.7592203,0.625,0,1,1,3,2012,4,2,2,5,5,3.65,1.085114848,0.000382091,278.01475239999996,334.499637,317.7746551,278.01475239999996,0.008,0.0,334.499637,160.7404167,3.41909407774657,20512.079447467706,42685.48800703158,99.0,0.9430878280048834,99.0,0.9057988006488019,0.5057392855554793,0.5777326130079489,[0.40822127],78794.62848736937,[247970.86971632],SA_Diesel2025,0.5057392855554793,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.5057392855554793,2.0,11614.247494465373,1,0,1,2.0,9.366246323044615,59565.52520029122,0.0,0.0,10000,12229.103287078146,97.83282629662517
257,-1,Bolivia,1,1,258,159.872108,-7224.238289,-1811.839861,-64.89643671,-16.16404961,6,0,1,0.0,193,4.041142,2,0,0,1812,1,3.38919997,173,36.2932472,6277370,98.859,98.859,77.938,63.618,100.734,0,79.3728104,0,0.045,3,125.05610055999999,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,100.04531949999999,0,0,0.0,25.01078106,0,0,6.880865122,0.045,0,1,1,3,2012,1,1,4,5,5,3.4,1.066906092,0.014319766000000001,152.9081138,183.9748003,174.7760603,152.9081138,63.618,0.0,183.9748003,177.093935178,3.41909407774657,22146.67696618609,23007.171126822715,99.0,0.7342127342411306,99.0,0.7298317109765251,0.5593700092965657,0.46817073780227175,[0.43276657],58872.818520810746,[171919.91611591],SA_PV2025,0.46817073780227175,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.46817073780227175,3.0,68851.88387206491,1,0,1,3.0,13.580253229204127,45146.81171474574,0.0,0.0,10000,6726.00680606501,53.80805444852008
258,-1,Bolivia,1,1,259,90.836425,-7158.034505,-1949.364958,-64.30171800000001,-17.35426887,8,0,1,0.0,419,9.7056808,2,0,0,1700,1,3.4621067,211,10.877608300000002,1573260,11.368,11.38,10.98,2.91,29.733,0,9.7263908,0,0.0,0,120.718806,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,120.718806,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,99,2012,4,1,4,5,5,3.85,1.102740091,0.016038699,86.87961013,104.5311366,99.30457972,86.87961013,2.91,0.0,104.5311366,104.5311366,3.41909407774657,12618.8740001749,12618.8740001749,99.0,0.9048316895029399,99.0,0.878013335727061,0.6130007330376518,0.49901492758689225,[0.45980008],45778.389105312075,[134788.56455895],SA_PV2025,0.49901492758689225,3.0,0,0,0,99.0,0.0,0,SA_PV2025,0.49901492758689225,3.0,41815.48443195212,1,0,1,3.0,8.24763006547379,34956.79432672918,0.0,0.0,10000,3821.594778582898,30.572758228663183
336,-1,Bolivia,1,1,337,141.704823,-6984.578769,-1902.714796,-62.74353861,-16.95137979,10,0,1,0.0,248,0.4140143,9,0,0,1882,1,5.12565279,197,25.0337105,1439350,73.39,58.495,12.513,6.072,58.882,0,11.1071053,0,0.231,2,78.17336998,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,78.17336998,0,0,0.0,0.0,0,0,31.30793631,0.231,0,1,1,2,2012,3,1,5,5,5,3.9,1.107634822,0.084311555,135.5321918,163.068573,154.9151444,135.5321918,6.072,0.0,163.068573,131.76063668999998,3.41909407774657,10300.173000767732,12747.619889239639,99.0,1.1450452607775656,99.0,1.148038090435858,0.6666314567787379,0.5138811871282181,[0.43851088],55686.15675680134,[161771.37096805],SA_PV2025,0.5138811871282181,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5138811871282181,3.0,35148.77786305201,1,0,1,3.0,6.081103436514189,42724.468905721726,0.0,0.0,10000,5961.687851079619,47.69350280863695
347,-1,Bolivia,1,1,348,381.512985,-6903.400056999999,-1810.9621329999998,-62.01429784,-16.15642931,4,1,1,1.1624527,510,1.2089767,8,0,0,1878,1,4.38342333,510,43.309944200000004,267604,190.226,175.53400000000002,0.439,0.10300000000000001,175.96400000000003,0,0.34413109999999997,0,0.8,4,102.522933485,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,98.24762498,0,0,4.275308505,0.0,0,0,291.91549,0.8,0,1,1,4,2012,5,1,2,4,5,3.45,1.070245051,0.047359549,364.8943625,439.0307735,417.0792348,364.8943625,0.10300000000000001,0.0,439.0307735,147.11528350000003,3.41909407774657,15082.69042489742,45010.7227894086,99.0,0.7057014148879405,99.0,0.7109223076534888,0.5057392855554794,0.6824764675833869,[0.31871676],38420.03141783007,[239250.78873499],SA_Diesel2025,0.5057392855554794,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.5057392855554794,2.0,8540.045875201973,1,0,1,2.0,6.887073253377817,11800.566474331876,21241.019653797375,0.0,0,5378.445289700817,128.40558449604083
365,-1,Bolivia,1,1,366,196.206678,-7153.876661,-1920.12588,-64.26436745,-17.10185217,11,0,1,0.0,233,2.0667737,9,0,0,1767,1,3.55350518,209,17.152523000000002,1062540,15.745999999999999,15.66,20.46,2.416,30.480999999999998,0,2.2851837,0,0.574,2,130.6061256,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,130.6061256,0,0,0.0,0.0,0,0,107.7168158,0.574,0,1,1,2,2012,5,1,5,5,5,4.2,1.141803222,0.018352742,187.65995790000002,225.787255,214.49789219999997,187.65995790000002,2.416,0.0,225.787255,118.07043919999998,3.41909407774657,15420.722611802363,29489.19858540923,99.0,0.9807253415511279,99.0,0.9684163620670164,0.6934468186492813,0.5473256333759516,[0.4286667],64863.78769912571,[196990.57181166],SA_PV2025,0.5473256333759516,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5473256333759516,3.0,56047.14625933325,1,0,1,3.0,9.69673810715108,49609.14297943398,0.0,0.0,10000,8254.644719691732,66.03715775753386
376,-1,Bolivia,1,1,377,167.139022,-6436.959783,-2141.744346,-57.82419356,-19.00609004,2,0,1,0.0,163,0.9525322,8,0,0,1933,1,3.33494043,678,74.00258640000001,204150,567.0509999999999,566.906,1.004,0.182,566.906,0,0.3755926,0,0.022000000000000002,4,120.11957450000001,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,120.11957450000001,0,0,0.0,0.0,0,0,3.516886618,0.022000000000000002,0,1,1,4,2012,5,1,2,5,5,3.6,1.0811571640000002,0.013113257,159.8584826,192.3372913,182.7204267,159.8584826,0.182,0.0,192.3372913,188.820404682,3.41909407774657,22681.02666731965,23103.473591438556,99.0,1.0468405344880434,99.0,1.051263863194712,0.45210856181439313,0.4388646543702622,[0.55129222],109365.42069952705,[219718.14834596],SA_PV2025,0.4388646543702622,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.4388646543702622,3.0,66099.21549882775,1,0,1,3.0,13.03732061120863,36593.66483726346,65868.59670707422,0.0,0,6903.159155189373,56.25387512787135
